# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
      :op-of (a2 / and 
            :op1 (l3 / labour) 
            :op2 (l2 / liberal 
                  :mod-of (c5 / county)) 
            :op3 (s / spend-01 
                  :mod-of (l / level))) 
      :op-of (o / or 
            :ARG2-of (c4 / consider-01 
                  :ARG0 (d / department 
                        :ARG0-of (p / propose-01 
                              :ARG1 (y2 / year)) 
                        :ARG2-of (e / exceed-01 
                              :ARG1 (b / budget)) 
                        :part-of (e2 / environment)) 
                  :ARG1 (r / reasonable) 
                  :ARG1-of (e3 / exceed-01 
                        :manner (f2 / far)) 
                  :prep-under (g / group 
                        :location (y / year) 
                        :location (c / council 
                              :mod (c2 / county)) 
                        :mod (c3 / conservative))) 
            :op1 (f / far)))

# ::snt if however your account is overdrawn we may require any amount outstanding in excess of one months transfer to be repaid
# ::tok if however your account is overdrawn we may require any amount outstanding in excess of one months transfer to be repaid
# ::alignments 20-21|0 17-18|0.1 16-17|0.0.0+0.0 13-14|0.1.1 11-12|0.2 10-11|0.1.0.0.1 9-10|0.1.0.0.1.0 8-9|0.1.0.0 7-8|0.1.0.0.2.0+0.1.0.0.2 6-7|0.1.0 3-4|0.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:02.054
# ::node	0	repay-01	20-21
# ::node	0.0	temporal-quantity	16-17
# ::node	0.0.0	month	16-17
# ::node	0.1	transfer-01	17-18
# ::node	0.1.0	we	6-7
# ::node	0.1.0.0	require-01	8-9
# ::node	0.1.0.0.0	account	3-4
# ::node	0.1.0.0.1	amount	10-11
# ::node	0.1.0.0.1.0	any	9-10
# ::node	0.1.0.0.2	date-entity	7-8
# ::node	0.1.0.0.2.0	5	7-8
# ::node	0.1.1	exceed-01	13-14
# ::node	0.2	outstanding	11-12
# ::root	0	repay-01
# ::edge	amount	mod	any	0.1.0.0.1	0.1.0.0.1.0	
# ::edge	date-entity	month	5	0.1.0.0.2	0.1.0.0.2.0	
