# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
      :ARG1 (p2 / person 
            :ARG0-of (s / serve-02) 
            :ARG1-of (a / arrest-01 
                  :time (h / have-org-role-91 
                        :ARG2 (o / official) 
                        :location (n / north))) 
            :mod (s2 / senior) 
            :mod (c / civil)) 
      :ARG2 (p / plot-01 
            :ARG0 (n2 / north)) 
      :mod (a5 / also) 
      :op-of (a3 / and 
            :ARG2-of (e / encourage-01 
                  :ARG1 (a2 / and))))

# ::snt coming so soon after the profumo scandal and just a year after supermacs sacking of a third of his entire cabinet it really was a bit more than a thatcher punch and judy show
# ::tok coming so soon after the profumo scandal and just a year after supermacs sacking of a third of his entire cabinet it really was a bit more than a thatcher punch and judy show
# ::alignments 33-34|0 31-32|0.2 30-31|0.2.1 25-26|0.1 22-23|0.0 21-22|0.2.1.1.1 20-21|0.2.1.1 19-20|0.2.1.1.0 11-12|0.2.1.0.0.0 10-11|0.2.1.0.0 8-9|0.2.1.0 7-8|0.2.0 6-7|0.2.0.0 3-4|0.2.0.0.0 2-3|0.2.0.0.0.0 1-2|0.2.0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:39.078
# ::node	0	show-01	33-34
# ::node	0.0	really	22-23
# ::node	0.1	bit	25-26
# ::node	0.2	and	31-32
# ::node	0.2.0	and	7-8
# ::node	0.2.0.0	scandal	6-7
# ::node	0.2.0.0.0	after	3-4
# ::node	0.2.0.0.0.0	soon	2-3
# ::node	0.2.0.0.0.0.0	so	1-2
# ::node	0.2.1	punch-01	30-31
# ::node	0.2.1.0	just	8-9
# ::node	0.2.1.0.0	year	10-11
# ::node	0.2.1.0.0.0	after	11-12
# ::node	0.2.1.1	cabinet	20-21
# ::node	0.2.1.1.0	entire	19-20
# ::node	0.2.1.1.1	it	21-22
# ::root	0	show-01
# ::edge	after	op1	scandal	0.2.0.0.0	0.2.0.0	
# ::edge	after	op1	year	0.2.1.0.0.0	0.2.1.0.0	
# ::edge	and	op1	and	0.2	0.2.0	
